Date	Total Active(without ICU, ICUV, ICVO)	Total discharged	Total deceased	Total ICU
28+AC0-01+AC0-2021	6052	919503	12209	150
29+AC0-01+AC0-2021	5913	920110	12211	148
30+AC0-01+AC0-2021	5829	920657	12213	147
31+AC0-01+AC0-2021	5884	921122	12217	145
01+AC0-02+AC0-2021	5849	921592	12220	145
02+AC0-02+AC0-2021	5776	922004	12223	148
03+AC0-02+AC0-2021	5769	922437	12225	146
04+AC0-02+AC0-2021	5771	922907	12227	146
05+AC0-02+AC0-2021	5730	923377	12230	144
06+AC0-02+AC0-2021	5824	923811	12233	144
07+AC0-02+AC0-2021	5818	924304	12236	141
08+AC0-02+AC0-2021	5791	924564	12239	143
09+AC0-02+AC0-2021	5642	925167	12241	143
10+AC0-02+AC0-2021	5734	925489	12244	141
11+AC0-02+AC0-2021	5821	925829	12251	137
12+AC0-02+AC0-2021	5788	926234	12259	137
13+AC0-02+AC0-2021	5775	926664	12263	135
14+AC0-02+AC0-2021	5704	927150	12265	132
15+AC0-02+AC0-2021	5644	927580	12267	128
16+AC0-02+AC0-2021	5735	927924	12273	125
17+AC0-02+AC0-2021	5574	928461	12276	124
18+AC0-02+AC0-2021	5667	928767	12282	125
19+AC0-02+AC0-2021	5757	929058	12287	125
20+AC0-02+AC0-2021	5851	929447	12292	127
21+AC0-02+AC0-2021	5909	929800	12294	127
22+AC0-02+AC0-2021	5933	930087	12299	128
23+AC0-02+AC0-2021	5940	930465	12303	122
24+AC0-02+AC0-2021	5955	930778	12309	122
25+AC0-02+AC0-2021	5455	931725	12316	121
26+AC0-02+AC0-2021	5380	932367	12320	121
27+AC0-02+AC0-2021	5517	932747	12326	121
28+AC0-02+AC0-2021	5683	933097	12331	121
01+AC0-03+AC0-2021	5706	933421	12336	118
02+AC0-03+AC0-2021	5829	933730	12343	116
03+AC0-03+AC0-2021	5941	934143	12346	116
04+AC0-03+AC0-2021	6013	934639	12350	115
05+AC0-03+AC0-2021	6262	935066	12354	112
06+AC0-03+AC0-2021	6485	935421	12359	109
07+AC0-03+AC0-2021	6747	935772	12362	115
08+AC0-03+AC0-2021	6699	936250	12367	116
