DISTRICTCODE,Date,ICU
20,17-06-2020,0
21,17-06-2020,0
22,17-06-2020,0
23,17-06-2020,0
24,17-06-2020,0
25,17-06-2020,4
26,17-06-2020,0
27,17-06-2020,1
28,17-06-2020,0
29,17-06-2020,2
30,17-06-2020,0
1,18-06-2020,0
2,18-06-2020,4
3,18-06-2020,0
4,18-06-2020,0
5,18-06-2020,33
6,18-06-2020,5
7,18-06-2020,0
8,18-06-2020,0
9,18-06-2020,0
10,18-06-2020,0
11,18-06-2020,2
12,18-06-2020,3
13,18-06-2020,3
14,18-06-2020,1
15,18-06-2020,1
16,18-06-2020,0
17,18-06-2020,12
18,18-06-2020,0
19,18-06-2020,0
20,18-06-2020,0
21,18-06-2020,0
22,18-06-2020,0
23,18-06-2020,0
24,18-06-2020,0
25,18-06-2020,4
26,18-06-2020,0
27,18-06-2020,3
28,18-06-2020,0
29,18-06-2020,2
30,18-06-2020,0
1,19-06-2020,0
2,19-06-2020,4
3,19-06-2020,1
4,19-06-2020,0
5,19-06-2020,35
6,19-06-2020,5
7,19-06-2020,0
8,19-06-2020,0
9,19-06-2020,0
10,19-06-2020,0
11,19-06-2020,2
12,19-06-2020,3
13,19-06-2020,5
14,19-06-2020,1
15,19-06-2020,1
16,19-06-2020,0
17,19-06-2020,12
18,19-06-2020,0
19,19-06-2020,0
20,19-06-2020,0
21,19-06-2020,0
22,19-06-2020,0
23,19-06-2020,0
24,19-06-2020,0
25,19-06-2020,4
26,19-06-2020,0
27,19-06-2020,3
28,19-06-2020,0
29,19-06-2020,2
30,19-06-2020,0
1,20-06-2020,0
2,20-06-2020,5
3,20-06-2020,1
4,20-06-2020,0
5,20-06-2020,36
6,20-06-2020,5
7,20-06-2020,0
8,20-06-2020,0
9,20-06-2020,0
10,20-06-2020,0
11,20-06-2020,2
12,20-06-2020,3
13,20-06-2020,5
14,20-06-2020,0
15,20-06-2020,2
16,20-06-2020,1
17,20-06-2020,11
18,20-06-2020,0
19,20-06-2020,0
20,20-06-2020,0
21,20-06-2020,0
22,20-06-2020,0
23,20-06-2020,1
24,20-06-2020,0
25,20-06-2020,0
26,20-06-2020,0
27,20-06-2020,1
28,20-06-2020,0
29,20-06-2020,1
30,20-06-2020,0
1,21-06-2020,0
2,21-06-2020,6
3,21-06-2020,1
4,21-06-2020,0
5,21-06-2020,31
6,21-06-2020,3
7,21-06-2020,0
8,21-06-2020,0
9,21-06-2020,0
10,21-06-2020,0
11,21-06-2020,2
12,21-06-2020,2
13,21-06-2020,5
14,21-06-2020,0
15,21-06-2020,2
16,21-06-2020,1
17,21-06-2020,13
18,21-06-2020,0
19,21-06-2020,0
20,21-06-2020,0
21,21-06-2020,0
22,21-06-2020,0
23,21-06-2020,1
24,21-06-2020,2
25,21-06-2020,0
26,21-06-2020,4
27,21-06-2020,2
28,21-06-2020,0
29,21-06-2020,2
30,21-06-2020,0
1,22-06-2020,0
2,22-06-2020,4
3,22-06-2020,1
4,22-06-2020,0
5,22-06-2020,38
6,22-06-2020,3
7,22-06-2020,0
8,22-06-2020,0
9,22-06-2020,0
10,22-06-2020,0
11,22-06-2020,2
12,22-06-2020,2
13,22-06-2020,6
14,22-06-2020,0
15,22-06-2020,1
16,22-06-2020,1
17,22-06-2020,13
18,22-06-2020,0
19,22-06-2020,0
20,22-06-2020,0
21,22-06-2020,0
22,22-06-2020,0
23,22-06-2020,1
24,22-06-2020,2
25,22-06-2020,0
26,22-06-2020,4
27,22-06-2020,2
28,22-06-2020,0
29,22-06-2020,0
30,22-06-2020,0
1,23-06-2020,0
2,23-06-2020,5
3,23-06-2020,1
4,23-06-2020,0
5,23-06-2020,71
6,23-06-2020,3
7,23-06-2020,1
8,23-06-2020,0
9,23-06-2020,0
10,23-06-2020,0
11,23-06-2020,2
12,23-06-2020,3
13,23-06-2020,6
14,23-06-2020,0
15,23-06-2020,1
16,23-06-2020,1
17,23-06-2020,11
18,23-06-2020,0
19,23-06-2020,0
20,23-06-2020,0
21,23-06-2020,0
22,23-06-2020,0
23,23-06-2020,1
24,23-06-2020,3
25,23-06-2020,0
26,23-06-2020,6
27,23-06-2020,2
28,23-06-2020,0
29,23-06-2020,3
30,23-06-2020,0
1,24-06-2020,0
2,24-06-2020,6
3,24-06-2020,1
4,24-06-2020,0
5,24-06-2020,63
6,24-06-2020,3
7,24-06-2020,1
8,24-06-2020,0
9,24-06-2020,0
10,24-06-2020,0
11,24-06-2020,2
12,24-06-2020,2
13,24-06-2020,6
14,24-06-2020,3
15,24-06-2020,1
16,24-06-2020,1
17,24-06-2020,9
18,24-06-2020,0
19,24-06-2020,0
20,24-06-2020,0
21,24-06-2020,0
22,24-06-2020,0
23,24-06-2020,1
24,24-06-2020,2
25,24-06-2020,0
26,24-06-2020,4
27,24-06-2020,2
28,24-06-2020,0
29,24-06-2020,5
30,24-06-2020,0
1,25-06-2020,0
2,25-06-2020,6
3,25-06-2020,1
4,25-06-2020,0
5,25-06-2020,112
6,25-06-2020,3
7,25-06-2020,2
8,25-06-2020,0
9,25-06-2020,1
10,25-06-2020,0
11,25-06-2020,3
12,25-06-2020,2
13,25-06-2020,5
14,25-06-2020,3
15,25-06-2020,1
16,25-06-2020,1
17,25-06-2020,7
18,25-06-2020,1
19,25-06-2020,0
20,25-06-2020,0
21,25-06-2020,0
22,25-06-2020,0
23,25-06-2020,1
24,25-06-2020,2
25,25-06-2020,0
26,25-06-2020,4
27,25-06-2020,1
28,25-06-2020,0
29,25-06-2020,4
30,25-06-2020,0
31,25-06-2020,0
2,26-06-2020,6
3,26-06-2020,1
4,26-06-2020,0
5,26-06-2020,123
6,26-06-2020,3
7,26-06-2020,1
8,26-06-2020,0
9,26-06-2020,1
10,26-06-2020,0
11,26-06-2020,5
12,26-06-2020,2
13,26-06-2020,8
14,26-06-2020,3
15,26-06-2020,3
