date,state,mean_r,p5th,p95th
2023-01-23,Maharashtra,0.745,0.626,0.873
2023-01-24,Maharashtra,0.556,0.45,0.67
2023-01-25,Maharashtra,0.898,0.759,1.046
2023-01-26,Maharashtra,1.559,1.369,1.759
2023-01-13,Manipur,1.511,0.078,4.526
2023-01-14,Manipur,1.858,0.095,5.567
2023-01-15,Manipur,2.26,0.116,6.77
2023-01-16,Manipur,2.696,0.138,8.078
2023-01-17,Manipur,3.139,0.161,9.404
2023-01-18,Manipur,3.556,0.182,10.653
2023-01-19,Manipur,3.922,0.201,11.75
2023-01-20,Manipur,4.222,0.217,12.649
2023-01-21,Manipur,4.455,0.229,13.347
2023-01-22,Manipur,4.627,0.237,13.863
2023-01-23,Manipur,4.75,0.244,14.23
2023-01-24,Manipur,4.835,0.248,14.484
2023-01-25,Manipur,4.892,0.251,14.655
2023-01-26,Manipur,4.93,0.253,14.77
2023-01-13,Meghalaya,1.365,0.243,3.238
2023-01-14,Meghalaya,1.327,0.236,3.149
2023-01-15,Meghalaya,1.32,0.235,3.13
2023-01-16,Meghalaya,0.669,0.034,2.004
2023-01-17,Meghalaya,1.374,0.244,3.259
2023-01-18,Meghalaya,1.437,0.255,3.409
2023-01-19,Meghalaya,1.533,0.272,3.637
2023-01-20,Meghalaya,1.635,0.29,3.877
2023-01-21,Meghalaya,1.714,0.305,4.065
2023-01-22,Meghalaya,1.76,0.313,4.174
2023-01-23,Meghalaya,1.776,0.316,4.212
2023-01-24,Meghalaya,0.886,0.045,2.654
2023-01-25,Meghalaya,0.88,0.045,2.636
2023-01-26,Meghalaya,0.887,0.045,2.657
2023-01-13,Mizoram,4.982,0.256,14.924
2023-01-14,Mizoram,4.989,0.256,14.945
2023-01-15,Mizoram,4.993,0.256,14.957
2023-01-16,Mizoram,4.996,0.256,14.965
2023-01-17,Mizoram,4.997,0.256,14.97
2023-01-18,Mizoram,4.998,0.256,14.974
2023-01-19,Mizoram,4.999,0.256,14.976
2023-01-20,Mizoram,4.999,0.256,14.977
2023-01-21,Mizoram,5,0.256,14.977
2023-01-22,Mizoram,5,0.256,14.978
2023-01-23,Mizoram,5,0.256,14.978
2023-01-24,Mizoram,5,0.256,14.978
2023-01-25,Mizoram,5,0.256,14.978
2023-01-26,Mizoram,5,0.256,14.979
2023-01-13,Nagaland,5,0.256,14.979
2023-01-14,Nagaland,5,0.256,14.979
2023-01-15,Nagaland,5,0.256,14.979
2023-01-16,Nagaland,5,0.256,14.979
2023-01-17,Nagaland,5,0.256,14.979
2023-01-18,Nagaland,5,0.256,14.979
2023-01-19,Nagaland,5,0.256,14.979
2023-01-20,Nagaland,5,0.256,14.979
2023-01-21,Nagaland,5,0.256,14.979
2023-01-22,Nagaland,5,0.256,14.979
2023-01-23,Nagaland,5,0.256,14.979
2023-01-24,Nagaland,5,0.256,14.979
2023-01-25,Nagaland,5,0.256,14.979
2023-01-26,Nagaland,5,0.256,14.979
2023-01-13,Odisha,1.403,1.016,1.842
2023-01-14,Odisha,1.402,1.026,1.826
2023-01-15,Odisha,1.233,0.893,1.619
2023-01-16,Odisha,0.677,0.437,0.959
2023-01-17,Odisha,0.396,0.222,0.61
2023-01-18,Odisha,0.457,0.27,0.683
2023-01-19,Odisha,0.746,0.5,1.033
2023-01-20,Odisha,0.821,0.556,1.128
2023-01-21,Odisha,0.801,0.531,1.117
2023-01-22,Odisha,0.991,0.677,1.353
2023-01-23,Odisha,1.051,0.719,1.436
2023-01-24,Odisha,1.095,0.749,1.496
2023-01-25,Odisha,3.113,2.502,3.78
2023-01-26,Odisha,6.923,5.996,7.906
2023-01-13,Puducherry,1.16,0.934,1.406
2023-01-14,Puducherry,1.108,0.898,1.336
2023-01-15,Puducherry,1.103,0.901,1.322
2023-01-16,Puducherry,0.599,0.456,0.759
2023-01-17,Puducherry,0.433,0.314,0.569
2023-01-18,Puducherry,0.447,0.326,0.585
2023-01-19,Puducherry,0.488,0.359,0.634
2023-01-20,Puducherry,0.669,0.512,0.843
2023-01-21,Puducherry,0.576,0.426,0.745
2023-01-22,Puducherry,0.449,0.313,0.607
2023-01-23,Puducherry,0.568,0.406,0.751
2023-01-24,Puducherry,0.679,0.495,0.888
2023-01-25,Puducherry,1.22,0.958,1.508
2023-01-26,Puducherry,2.162,1.796,2.557
2023-01-13,Punjab,0.993,0.752,1.261
2023-01-14,Punjab,1.113,0.854,1.399
2023-01-15,Punjab,1.127,0.866,1.417
2023-01-16,Punjab,0.981,0.738,1.253
2023-01-17,Punjab,1.678,1.355,2.028
2023-01-18,Punjab,1.563,1.254,1.901
2023-01-19,Punjab,1.29,1.013,1.595
2023-01-20,Punjab,1.264,0.995,1.559
2023-01-21,Punjab,1.067,0.827,1.332
2023-01-22,Punjab,0.847,0.639,1.078
2023-01-23,Punjab,0.857,0.652,1.086
2023-01-24,Punjab,0.281,0.17,0.415
2023-01-25,Punjab,0.442,0.299,0.608
2023-01-26,Punjab,0.786,0.588,1.006
2023-01-13,Rajasthan,1.15,0.908,1.417
2023-01-14,Rajasthan,1.09,0.854,1.35
2023-01-15,Rajasthan,1.031,0.804,1.282
2023-01-16,Rajasthan,0.384,0.251,0.539
2023-01-17,Rajasthan,0.099,0.039,0.182
2023-01-18,Rajasthan,0.139,0.065,0.236
2023-01-19,Rajasthan,0.145,0.068,0.246
2023-01-20,Rajasthan,0.159,0.075,0.269
2023-01-21,Rajasthan,0.208,0.103,0.341
2023-01-22,Rajasthan,0.245,0.122,0.403
2023-01-23,Rajasthan,0.297,0.148,0.488
2023-01-24,Rajasthan,0.544,0.314,0.825
2023-01-25,Rajasthan,1.105,0.732,1.54
2023-01-26,Rajasthan,2.385,1.771,3.074
2023-01-13,Sikkim,0.618,0.032,1.85
2023-01-14,Sikkim,0.593,0.03,1.776
2023-01-15,Sikkim,0.611,0.031,1.831
2023-01-16,Sikkim,0.671,0.034,2.009
2023-01-17,Sikkim,0.772,0.04,2.312
2023-01-18,Sikkim,0.92,0.047,2.757
2023-01-19,Sikkim,1.123,0.058,3.363
2023-01-20,Sikkim,1.386,0.071,4.151
2023-01-21,Sikkim,3.425,0.609,8.123
2023-01-22,Sikkim,4.186,0.744,9.928
2023-01-23,Sikkim,4.798,0.853,11.38
2023-01-24,Sikkim,4.761,0.846,11.293
2023-01-25,Sikkim,4.157,0.739,9.859
2023-01-26,Sikkim,5.187,1.414,10.886
2023-01-13,Tamil Nadu,1.127,0.926,1.345
2023-01-14,Tamil Nadu,1.066,0.871,1.278
2023-01-15,Tamil Nadu,0.964,0.78,1.164
2023-01-16,Tamil Nadu,0.612,0.469,0.772
2023-01-17,Tamil Nadu,0.508,0.379,0.653
2023-01-18,Tamil Nadu,0.51,0.38,0.655
2023-01-19,Tamil Nadu,0.594,0.452,0.752
2023-01-20,Tamil Nadu,0.685,0.528,0.86
