"State","Date","Total Active"
"Meghalaya","2020-06-20","10"
"Meghalaya","2020-06-21","10"
"Meghalaya","2020-06-22","10"
"Meghalaya","2020-06-23","6"
"Meghalaya","2020-06-24","8"
"Meghalaya","2020-06-25","3"
"Meghalaya","2020-06-26","3"
"Meghalaya","2020-06-27","4"
"Meghalaya","2020-06-28","4"
"Meghalaya","2020-06-29","4"
"Meghalaya","2020-06-30","4"
"Meghalaya","2020-07-01","9"
"Meghalaya","2020-07-02","9"
"Meghalaya","2020-07-03","13"
"Meghalaya","2020-07-04","18"
"Meghalaya","2020-07-05","18"
"Meghalaya","2020-07-06","18"
"Meghalaya","2020-07-07","36"
"Meghalaya","2020-07-08","36"
"Meghalaya","2020-07-09","36"
"Meghalaya","2020-07-10","45"
"Meghalaya","2020-07-11","139"
"Meghalaya","2020-07-12","139"
"Meghalaya","2020-07-13","238"
"Meghalaya","2020-07-14","250"
"Meghalaya","2020-07-15","250"
"Meghalaya","2020-07-16","278"
"Meghalaya","2020-07-17","309"
"Meghalaya","2020-07-18","335"
"Meghalaya","2020-07-19","350"
"Meghalaya","2020-07-20","382"
"Meghalaya","2020-07-21","396"
"Meghalaya","2020-07-22","416"
"Meghalaya","2020-07-23","433"
"Meghalaya","2020-07-24","452"
"Meghalaya","2020-07-25","496"
"Meghalaya","2020-07-26","547"
"Meghalaya","2020-07-27","562"
"Meghalaya","2020-07-28","547"
"Meghalaya","2020-07-29","580"
"Meghalaya","2020-07-30","572"
"Meghalaya","2020-07-31","588"
"Meghalaya","2020-08-01","603"
"Meghalaya","2020-08-02","599"
"Meghalaya","2020-08-03","605"
"Meghalaya","2020-08-04","633"
"Meghalaya","2020-08-05","582"
"Meghalaya","2020-08-06","594"
"Meghalaya","2020-08-07","640"
"Meghalaya","2020-08-08","590"
"Meghalaya","2020-08-09","594"
"Meghalaya","2020-08-10","566"
"Meghalaya","2020-08-11","610"
"Meghalaya","2020-08-12","621"
"Meghalaya","2020-08-13","656"
"Meghalaya","2020-08-14","640"
"Meghalaya","2020-08-15","641"
"Meghalaya","2020-08-16","690"
"Meghalaya","2020-08-17","693"
