DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
41,03/05/2020,5,0,0,,,,,,
42,03/05/2020,29,20,0,,,,,,
43,03/05/2020,0,0,0,,,,,,
44,03/05/2020,59,26,0,,,,,,
32,04/05/2020,78,24,4,,,,,,
33,04/05/2020,82,45,0,,,,,,
34,04/05/2020,45,22,0,,,,,,
35,04/05/2020,338,115,8,,,,,,
36,04/05/2020,87,37,0,,,,,,
37,04/05/2020,278,46,8,,,,,,
38,04/05/2020,491,86,10,,,,,,
39,04/05/2020,91,50,3,,,,,,
40,04/05/2020,61,50,0,,,,,,
41,04/05/2020,5,0,0,,,,,,
42,04/05/2020,35,20,0,,,,,,
43,04/05/2020,0,0,0,,,,,,
44,05/05/2020,59,29,0,,,,,,
32,05/05/2020,80,24,4,,,,,,
33,05/05/2020,82,48,0,,,,,,
34,05/05/2020,45,22,0,,,,,,
35,05/05/2020,351,128,8,,,,,,
36,05/05/2020,89,39,0,,,,,,
37,05/05/2020,286,56,9,,,,,,
38,05/05/2020,516,114,10,,,,,,
39,05/05/2020,92,56,3,,,,,,
40,05/05/2020,61,50,0,,,,,,
41,05/05/2020,5,0,0,,,,,,
42,05/05/2020,37,21,0,,,,,,
43,05/05/2020,0,0,0,,,,,,
44,05/05/2020,59,31,0,,,,,,
32,06/05/2020,80,34,4,,,,,,
33,06/05/2020,82,68,0,,,,,,
34,06/05/2020,46,26,0,,,,,,
35,06/05/2020,363,129,8,,,,,,
36,06/05/2020,90,40,0,,,,,,
37,06/05/2020,300,117,10,,,,,,
38,06/05/2020,533,153,11,,,,,,
39,06/05/2020,92,56,3,,,,,,
40,06/05/2020,61,52,0,,,,,,
41,06/05/2020,5,0,0,,,,,,
42,06/05/2020,39,21,0,,,,,,
43,06/05/2020,0,0,0,,,,,,
44,06/05/2020,59,33,0,,,,,,
32,07/05/2020,83,39,4,,,,,,
33,07/05/2020,82,68,0,,,,,,
34,07/05/2020,46,26,0,,,,,,
35,07/05/2020,373,150,8,,,,,,
36,07/05/2020,96,40,0,,,,,,
37,07/05/2020,316,123,11,,,,,,
38,07/05/2020,540,168,12,,,,,,
39,07/05/2020,96,59,3,,,,,,
40,07/05/2020,61,52,0,,,,,,
41,07/05/2020,5,0,0,,,,,,
42,07/05/2020,46,22,0,,,,,,
43,07/05/2020,3,0,0,,,,,,
44,07/05/2020,59,33,0,,,,,,
32,08/05/2020,99,42,4,,,,,,
33,08/05/2020,85,74,0,,,,,,
34,08/05/2020,46,26,0,,,,,,
35,08/05/2020,374,164,8,,,,,,
36,08/05/2020,96,43,0,,,,,,
37,08/05/2020,322,126,11,,,,,,
38,08/05/2020,547,191,14,,,,,,
39,08/05/2020,96,60,3,,,,,,
40,08/05/2020,61,60,0,,,,,,
41,08/05/2020,5,0,0,,,,,,
42,08/05/2020,57,23,1,,,,,,
43,08/05/2020,4,0,0,,,,,,
