DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,,,
101,11/07/2020,192,92,0,,,,,,,,
101,12/07/2020,208,92,0,,,,,,,,
101,13/07/2020,212,92,0,,,,,,,,
101,15/07/2020,267,95,1,,,,,,,,
101,16/07/2020,293,101,1,,,,,,,,
101,17/07/2020,304,107,1,,,,,,,,
101,18/07/2020,332,113,1,,,,,,,,
101,19/07/2020,381,118,1,,,,,,,,
101,20/07/2020,405,119,1,,,,,,,,
101,21/07/2020,405,124,1,,,,,,,,
101,22/07/2020,448,125,2,,,,,,,,
101,23/07/2020,511,147,2,,,,,,,,
101,24/07/2020,540,243,2,,,,,,,,
101,25/07/2020,580,255,2,,,,,,,,
101,26/07/2020,628,286,2,,,,,,,,
101,27/07/2020,698,311,2,,,,,,,,
101,28/07/2020,705,338,2,,,,,,,,
101,29/07/2020,739,358,2,,,,,,,,
101,30/07/2020,745,389,2,,,,,,,,
101,31/07/2020,804,434,2,,,,,,,,
101,01/08/2020,818,466,2,,,,,,,,
101,02/08/2020,860,496,2,,,,,,,,
101,03/08/2020,886,550,2,,,,,,,,
101,04/08/2020,886,576,2,,,,,,,,
101,05/08/2020,925,634,2,,,,,,,,
101,06/08/2020,983,654,2,,,,,,,,
101,07/08/2020,1006,711,2,,,,,,,,
101,08/08/2020,1047,730,2,,,,,,,,
101,09/08/2020,1064,761,2,,,,,,,,
101,10/08/2020,1082,770,2,,,,,,,,
101,11/08/2020,1086,838,2,,,,,,,,
101,12/08/2020,1128,863,3,,,,,,,,
101,13/08/2020,1159,885,3,,,,,,,,
101,14/08/2020,1217,893,3,,,,,,,,
101,15/08/2020,1248,932,3,,,,,,,,
101,16/08/2020,1278,971,3,,,,,,,,
101,17/08/2020,1301,986,3,,,,,,,,
101,18/08/2020,1306,1045,3,,,,,,,,
101,19/08/2020,1370,1050,3,,,,,,,,
101,20/08/2020,1405,1059,3,,,,,,,,
101,21/08/2020,1439,1077,3,,,,,,,,
101,22/08/2020,1476,1123,3,,,,,,,,
101,23/08/2020,1505,1142,3,,,,,,,,
101,24/08/2020,1524,1190,3,,,,,,,,
101,25/08/2020,1530,1227,3,,,,,,,,
101,26/08/2020,1593,1240,3,,,,,,,,
101,27/08/2020,1620,1268,3,,,,,,,,
101,28/08/2020,1669,1304,3,,,,,,,,
101,29/08/2020,1696,1345,3,,,,,,,,
101,30/08/2020,1731,1390,3,,,,,,,,
101,31/08/2020,1746,1413,3,,,,,,,,
101,01/09/2020,1746,1427,3,,,,,,,,
101,02/09/2020,1758,1469,3,,,,,,,,
101,03/09/2020,1802,1491,3,,,,,,,,
101,04/09/2020,1831,1517,3,,,,,,,,
101,05/09/2020,1862,1577,3,,,,,,,,
101,06/09/2020,1901,1596,3,,,,,,,,
101,07/09/2020,1905,1628,3,,,,,,,,
101,08/09/2020,1990,1640,3,,,,,,,,
